keyTime,datetime,dayTime,dayWeekTime,dayWeekAbbrevTime,dayWeekCompleteTime,monthTime,monthAbbrevTime,monthCompleteTime,bimonthTime,quarterTime,semesterTime,yearTime
62,1994-08-31,31,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
63,1994-09-01,1,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
64,1994-09-02,2,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
65,1994-09-03,3,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
66,1994-09-04,4,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
67,1994-09-05,5,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
68,1994-09-06,6,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
69,1994-09-07,7,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
70,1994-09-08,8,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
71,1994-09-09,9,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
72,1994-09-10,10,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
73,1994-09-11,11,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
74,1994-09-12,12,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
75,1994-09-13,13,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
76,1994-09-14,14,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
77,1994-09-15,15,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
78,1994-09-16,16,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
79,1994-09-17,17,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
80,1994-09-18,18,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
81,1994-09-19,19,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
82,1994-09-20,20,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
83,1994-09-21,21,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
84,1994-09-22,22,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
85,1994-09-23,23,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
86,1994-09-24,24,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
87,1994-09-25,25,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
88,1994-09-26,26,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
89,1994-09-27,27,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
90,1994-09-28,28,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
91,1994-09-29,29,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
92,1994-09-30,30,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
93,1994-10-01,1,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,1994
94,1994-10-02,2,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,1994
95,1994-10-03,3,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,1994
96,1994-10-04,4,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,1994
97,1994-10-05,5,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,1994
98,1994-10-06,6,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,1994
99,1994-10-07,7,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,1994
100,1994-10-08,8,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,1994
101,1994-10-09,9,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,1994
102,1994-10-10,10,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,1994
103,1994-10-11,11,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,1994
104,1994-10-12,12,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,1994
105,1994-10-13,13,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,1994
106,1994-10-14,14,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,1994
107,1994-10-15,15,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,1994
108,1994-10-16,16,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,1994
109,1994-10-17,17,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,1994
110,1994-10-18,18,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,1994
111,1994-10-19,19,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,1994
112,1994-10-20,20,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,1994
113,1994-10-21,21,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,1994
114,1994-10-22,22,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,1994
115,1994-10-23,23,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,1994
116,1994-10-24,24,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,1994
117,1994-10-25,25,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,1994
118,1994-10-26,26,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,1994
119,1994-10-27,27,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,1994
120,1994-10-28,28,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,1994
121,1994-10-29,29,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,1994
122,1994-10-30,30,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,1994
123,1994-10-31,31,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,1994
124,1994-11-01,1,3,QUA,QUARTA,11,NOV,NOVEMBRO,6,4,2,1994
125,1994-11-02,2,4,QUI,QUINTA,11,NOV,NOVEMBRO,6,4,2,1994
126,1994-11-03,3,5,SEX,SEXTA,11,NOV,NOVEMBRO,6,4,2,1994
127,1994-11-04,4,6,SAB,SABADO,11,NOV,NOVEMBRO,6,4,2,1994
128,1994-11-05,5,7,DOM,DOMINGO,11,NOV,NOVEMBRO,6,4,2,1994
129,1994-11-06,6,1,SEG,SEGUNDA,11,NOV,NOVEMBRO,6,4,2,1994
130,1994-11-07,7,2,TER,TERCA,11,NOV,NOVEMBRO,6,4,2,1994
131,1994-11-08,8,3,QUA,QUARTA,11,NOV,NOVEMBRO,6,4,2,1994
132,1994-11-09,9,4,QUI,QUINTA,11,NOV,NOVEMBRO,6,4,2,1994
133,1994-11-10,10,5,SEX,SEXTA,11,NOV,NOVEMBRO,6,4,2,1994
134,1994-11-11,11,6,SAB,SABADO,11,NOV,NOVEMBRO,6,4,2,1994
135,1994-11-12,12,7,DOM,DOMINGO,11,NOV,NOVEMBRO,6,4,2,1994
136,1994-11-13,13,1,SEG,SEGUNDA,11,NOV,NOVEMBRO,6,4,2,1994
137,1994-11-14,14,2,TER,TERCA,11,NOV,NOVEMBRO,6,4,2,1994
138,1994-11-15,15,3,QUA,QUARTA,11,NOV,NOVEMBRO,6,4,2,1994
139,1994-11-16,16,4,QUI,QUINTA,11,NOV,NOVEMBRO,6,4,2,1994
140,1994-11-17,17,5,SEX,SEXTA,11,NOV,NOVEMBRO,6,4,2,1994
141,1994-11-18,18,6,SAB,SABADO,11,NOV,NOVEMBRO,6,4,2,1994
142,1994-11-19,19,7,DOM,DOMINGO,11,NOV,NOVEMBRO,6,4,2,1994
143,1994-11-20,20,1,SEG,SEGUNDA,11,NOV,NOVEMBRO,6,4,2,1994
144,1994-11-21,21,2,TER,TERCA,11,NOV,NOVEMBRO,6,4,2,1994
145,1994-11-22,22,3,QUA,QUARTA,11,NOV,NOVEMBRO,6,4,2,1994
146,1994-11-23,23,4,QUI,QUINTA,11,NOV,NOVEMBRO,6,4,2,1994
147,1994-11-24,24,5,SEX,SEXTA,11,NOV,NOVEMBRO,6,4,2,1994
148,1994-11-25,25,6,SAB,SABADO,11,NOV,NOVEMBRO,6,4,2,1994
149,1994-11-26,26,7,DOM,DOMINGO,11,NOV,NOVEMBRO,6,4,2,1994
150,1994-11-27,27,1,SEG,SEGUNDA,11,NOV,NOVEMBRO,6,4,2,1994
151,1994-11-28,28,2,TER,TERCA,11,NOV,NOVEMBRO,6,4,2,1994
152,1994-11-29,29,3,QUA,QUARTA,11,NOV,NOVEMBRO,6,4,2,1994
153,1994-11-30,30,4,QUI,QUINTA,11,NOV,NOVEMBRO,6,4,2,1994
154,1994-12-01,1,5,SEX,SEXTA,12,DEZ,DEZEMBRO,6,4,2,1994
155,1994-12-02,2,6,SAB,SABADO,12,DEZ,DEZEMBRO,6,4,2,1994
156,1994-12-03,3,7,DOM,DOMINGO,12,DEZ,DEZEMBRO,6,4,2,1994
157,1994-12-04,4,1,SEG,SEGUNDA,12,DEZ,DEZEMBRO,6,4,2,1994
158,1994-12-05,5,2,TER,TERCA,12,DEZ,DEZEMBRO,6,4,2,1994
159,1994-12-06,6,3,QUA,QUARTA,12,DEZ,DEZEMBRO,6,4,2,1994
160,1994-12-07,7,4,QUI,QUINTA,12,DEZ,DEZEMBRO,6,4,2,1994
161,1994-12-08,8,5,SEX,SEXTA,12,DEZ,DEZEMBRO,6,4,2,1994
162,1994-12-09,9,6,SAB,SABADO,12,DEZ,DEZEMBRO,6,4,2,1994
163,1994-12-10,10,7,DOM,DOMINGO,12,DEZ,DEZEMBRO,6,4,2,1994
164,1994-12-11,11,1,SEG,SEGUNDA,12,DEZ,DEZEMBRO,6,4,2,1994
165,1994-12-12,12,2,TER,TERCA,12,DEZ,DEZEMBRO,6,4,2,1994
166,1994-12-13,13,3,QUA,QUARTA,12,DEZ,DEZEMBRO,6,4,2,1994
167,1994-12-14,14,4,QUI,QUINTA,12,DEZ,DEZEMBRO,6,4,2,1994
168,1994-12-15,15,5,SEX,SEXTA,12,DEZ,DEZEMBRO,6,4,2,1994
169,1994-12-16,16,6,SAB,SABADO,12,DEZ,DEZEMBRO,6,4,2,1994
170,1994-12-17,17,7,DOM,DOMINGO,12,DEZ,DEZEMBRO,6,4,2,1994
171,1994-12-18,18,1,SEG,SEGUNDA,12,DEZ,DEZEMBRO,6,4,2,1994
172,1994-12-19,19,2,TER,TERCA,12,DEZ,DEZEMBRO,6,4,2,1994
173,1994-12-20,20,3,QUA,QUARTA,12,DEZ,DEZEMBRO,6,4,2,1994
174,1994-12-21,21,4,QUI,QUINTA,12,DEZ,DEZEMBRO,6,4,2,1994
175,1994-12-22,22,5,SEX,SEXTA,12,DEZ,DEZEMBRO,6,4,2,1994
176,1994-12-23,23,6,SAB,SABADO,12,DEZ,DEZEMBRO,6,4,2,1994
177,1994-12-24,24,7,DOM,DOMINGO,12,DEZ,DEZEMBRO,6,4,2,1994
178,1994-12-25,25,1,SEG,SEGUNDA,12,DEZ,DEZEMBRO,6,4,2,1994
179,1994-12-26,26,2,TER,TERCA,12,DEZ,DEZEMBRO,6,4,2,1994
180,1994-12-27,27,3,QUA,QUARTA,12,DEZ,DEZEMBRO,6,4,2,1994
181,1994-12-28,28,4,QUI,QUINTA,12,DEZ,DEZEMBRO,6,4,2,1994
182,1994-12-29,29,5,SEX,SEXTA,12,DEZ,DEZEMBRO,6,4,2,1994
183,1994-12-30,30,6,SAB,SABADO,12,DEZ,DEZEMBRO,6,4,2,1994
184,1994-12-31,31,7,DOM,DOMINGO,12,DEZ,DEZEMBRO,6,4,2,1994
185,1995-01-01,1,1,SEG,SEGUNDA,1,JAN,JANEIRO,1,1,1,1995
186,1995-01-02,2,2,TER,TERCA,1,JAN,JANEIRO,1,1,1,1995
187,1995-01-03,3,3,QUA,QUARTA,1,JAN,JANEIRO,1,1,1,1995
188,1995-01-04,4,4,QUI,QUINTA,1,JAN,JANEIRO,1,1,1,1995
189,1995-01-05,5,5,SEX,SEXTA,1,JAN,JANEIRO,1,1,1,1995
190,1995-01-06,6,6,SAB,SABADO,1,JAN,JANEIRO,1,1,1,1995
191,1995-01-07,7,7,DOM,DOMINGO,1,JAN,JANEIRO,1,1,1,1995
192,1995-01-08,8,1,SEG,SEGUNDA,1,JAN,JANEIRO,1,1,1,1995
193,1995-01-09,9,2,TER,TERCA,1,JAN,JANEIRO,1,1,1,1995
194,1995-01-10,10,3,QUA,QUARTA,1,JAN,JANEIRO,1,1,1,1995
195,1995-01-11,11,4,QUI,QUINTA,1,JAN,JANEIRO,1,1,1,1995
196,1995-01-12,12,5,SEX,SEXTA,1,JAN,JANEIRO,1,1,1,1995
197,1995-01-13,13,6,SAB,SABADO,1,JAN,JANEIRO,1,1,1,1995
198,1995-01-14,14,7,DOM,DOMINGO,1,JAN,JANEIRO,1,1,1,1995
199,1995-01-15,15,1,SEG,SEGUNDA,1,JAN,JANEIRO,1,1,1,1995
200,1995-01-16,16,2,TER,TERCA,1,JAN,JANEIRO,1,1,1,1995
201,1995-01-17,17,3,QUA,QUARTA,1,JAN,JANEIRO,1,1,1,1995
202,1995-01-18,18,4,QUI,QUINTA,1,JAN,JANEIRO,1,1,1,1995
203,1995-01-19,19,5,SEX,SEXTA,1,JAN,JANEIRO,1,1,1,1995
204,1995-01-20,20,6,SAB,SABADO,1,JAN,JANEIRO,1,1,1,1995
205,1995-01-21,21,7,DOM,DOMINGO,1,JAN,JANEIRO,1,1,1,1995
206,1995-01-22,22,1,SEG,SEGUNDA,1,JAN,JANEIRO,1,1,1,1995
207,1995-01-23,23,2,TER,TERCA,1,JAN,JANEIRO,1,1,1,1995
208,1995-01-24,24,3,QUA,QUARTA,1,JAN,JANEIRO,1,1,1,1995
209,1995-01-25,25,4,QUI,QUINTA,1,JAN,JANEIRO,1,1,1,1995
210,1995-01-26,26,5,SEX,SEXTA,1,JAN,JANEIRO,1,1,1,1995
211,1995-01-27,27,6,SAB,SABADO,1,JAN,JANEIRO,1,1,1,1995
212,1995-01-28,28,7,DOM,DOMINGO,1,JAN,JANEIRO,1,1,1,1995
213,1995-01-29,29,1,SEG,SEGUNDA,1,JAN,JANEIRO,1,1,1,1995
214,1995-01-30,30,2,TER,TERCA,1,JAN,JANEIRO,1,1,1,1995
215,1995-01-31,31,3,QUA,QUARTA,1,JAN,JANEIRO,1,1,1,1995
216,1995-02-01,1,4,QUI,QUINTA,2,FEV,FEVEREIRO,1,1,1,1995
217,1995-02-02,2,5,SEX,SEXTA,2,FEV,FEVEREIRO,1,1,1,1995
218,1995-02-03,3,6,SAB,SABADO,2,FEV,FEVEREIRO,1,1,1,1995
219,1995-02-04,4,7,DOM,DOMINGO,2,FEV,FEVEREIRO,1,1,1,1995
220,1995-02-05,5,1,SEG,SEGUNDA,2,FEV,FEVEREIRO,1,1,1,1995
221,1995-02-06,6,2,TER,TERCA,2,FEV,FEVEREIRO,1,1,1,1995
222,1995-02-07,7,3,QUA,QUARTA,2,FEV,FEVEREIRO,1,1,1,1995
223,1995-02-08,8,4,QUI,QUINTA,2,FEV,FEVEREIRO,1,1,1,1995
224,1995-02-09,9,5,SEX,SEXTA,2,FEV,FEVEREIRO,1,1,1,1995
225,1995-02-10,10,6,SAB,SABADO,2,FEV,FEVEREIRO,1,1,1,1995
226,1995-02-11,11,7,DOM,DOMINGO,2,FEV,FEVEREIRO,1,1,1,1995
227,1995-02-12,12,1,SEG,SEGUNDA,2,FEV,FEVEREIRO,1,1,1,1995
228,1995-02-13,13,2,TER,TERCA,2,FEV,FEVEREIRO,1,1,1,1995
229,1995-02-14,14,3,QUA,QUARTA,2,FEV,FEVEREIRO,1,1,1,1995
230,1995-02-15,15,4,QUI,QUINTA,2,FEV,FEVEREIRO,1,1,1,1995
231,1995-02-16,16,5,SEX,SEXTA,2,FEV,FEVEREIRO,1,1,1,1995
232,1995-02-17,17,6,SAB,SABADO,2,FEV,FEVEREIRO,1,1,1,1995
233,1995-02-18,18,7,DOM,DOMINGO,2,FEV,FEVEREIRO,1,1,1,1995
234,1995-02-19,19,1,SEG,SEGUNDA,2,FEV,FEVEREIRO,1,1,1,1995
235,1995-02-20,20,2,TER,TERCA,2,FEV,FEVEREIRO,1,1,1,1995
236,1995-02-21,21,3,QUA,QUARTA,2,FEV,FEVEREIRO,1,1,1,1995
237,1995-02-22,22,4,QUI,QUINTA,2,FEV,FEVEREIRO,1,1,1,1995
238,1995-02-23,23,5,SEX,SEXTA,2,FEV,FEVEREIRO,1,1,1,1995
239,1995-02-24,24,6,SAB,SABADO,2,FEV,FEVEREIRO,1,1,1,1995
240,1995-02-25,25,7,DOM,DOMINGO,2,FEV,FEVEREIRO,1,1,1,1995
241,1995-02-26,26,1,SEG,SEGUNDA,2,FEV,FEVEREIRO,1,1,1,1995
242,1995-02-27,27,2,TER,TERCA,2,FEV,FEVEREIRO,1,1,1,1995
243,1995-02-28,28,3,QUA,QUARTA,2,FEV,FEVEREIRO,1,1,1,1995
244,1995-03-01,1,4,QUI,QUINTA,3,MAR,MARCO,2,1,1,1995
245,1995-03-02,2,5,SEX,SEXTA,3,MAR,MARCO,2,1,1,1995
246,1995-03-03,3,6,SAB,SABADO,3,MAR,MARCO,2,1,1,1995
247,1995-03-04,4,7,DOM,DOMINGO,3,MAR,MARCO,2,1,1,1995
248,1995-03-05,5,1,SEG,SEGUNDA,3,MAR,MARCO,2,1,1,1995
249,1995-03-06,6,2,TER,TERCA,3,MAR,MARCO,2,1,1,1995
250,1995-03-07,7,3,QUA,QUARTA,3,MAR,MARCO,2,1,1,1995
251,1995-03-08,8,4,QUI,QUINTA,3,MAR,MARCO,2,1,1,1995
252,1995-03-09,9,5,SEX,SEXTA,3,MAR,MARCO,2,1,1,1995
253,1995-03-10,10,6,SAB,SABADO,3,MAR,MARCO,2,1,1,1995
254,1995-03-11,11,7,DOM,DOMINGO,3,MAR,MARCO,2,1,1,1995
255,1995-03-12,12,1,SEG,SEGUNDA,3,MAR,MARCO,2,1,1,1995
256,1995-03-13,13,2,TER,TERCA,3,MAR,MARCO,2,1,1,1995
257,1995-03-14,14,3,QUA,QUARTA,3,MAR,MARCO,2,1,1,1995
258,1995-03-15,15,4,QUI,QUINTA,3,MAR,MARCO,2,1,1,1995
259,1995-03-16,16,5,SEX,SEXTA,3,MAR,MARCO,2,1,1,1995
260,1995-03-17,17,6,SAB,SABADO,3,MAR,MARCO,2,1,1,1995
261,1995-03-18,18,7,DOM,DOMINGO,3,MAR,MARCO,2,1,1,1995
262,1995-03-19,19,1,SEG,SEGUNDA,3,MAR,MARCO,2,1,1,1995
263,1995-03-20,20,2,TER,TERCA,3,MAR,MARCO,2,1,1,1995
264,1995-03-21,21,3,QUA,QUARTA,3,MAR,MARCO,2,1,1,1995
265,1995-03-22,22,4,QUI,QUINTA,3,MAR,MARCO,2,1,1,1995
266,1995-03-23,23,5,SEX,SEXTA,3,MAR,MARCO,2,1,1,1995
267,1995-03-24,24,6,SAB,SABADO,3,MAR,MARCO,2,1,1,1995
268,1995-03-25,25,7,DOM,DOMINGO,3,MAR,MARCO,2,1,1,1995
269,1995-03-26,26,1,SEG,SEGUNDA,3,MAR,MARCO,2,1,1,1995
270,1995-03-27,27,2,TER,TERCA,3,MAR,MARCO,2,1,1,1995
271,1995-03-28,28,3,QUA,QUARTA,3,MAR,MARCO,2,1,1,1995
272,1995-03-29,29,4,QUI,QUINTA,3,MAR,MARCO,2,1,1,1995
273,1995-03-30,30,5,SEX,SEXTA,3,MAR,MARCO,2,1,1,1995
274,1995-03-31,31,6,SAB,SABADO,3,MAR,MARCO,2,1,1,1995
275,1995-04-01,1,7,DOM,DOMINGO,4,ABR,ABRIL,2,2,1,1995
276,1995-04-02,2,1,SEG,SEGUNDA,4,ABR,ABRIL,2,2,1,1995
277,1995-04-03,3,2,TER,TERCA,4,ABR,ABRIL,2,2,1,1995
278,1995-04-04,4,3,QUA,QUARTA,4,ABR,ABRIL,2,2,1,1995
279,1995-04-05,5,4,QUI,QUINTA,4,ABR,ABRIL,2,2,1,1995
280,1995-04-06,6,5,SEX,SEXTA,4,ABR,ABRIL,2,2,1,1995
281,1995-04-07,7,6,SAB,SABADO,4,ABR,ABRIL,2,2,1,1995
282,1995-04-08,8,7,DOM,DOMINGO,4,ABR,ABRIL,2,2,1,1995
283,1995-04-09,9,1,SEG,SEGUNDA,4,ABR,ABRIL,2,2,1,1995
284,1995-04-10,10,2,TER,TERCA,4,ABR,ABRIL,2,2,1,1995
285,1995-04-11,11,3,QUA,QUARTA,4,ABR,ABRIL,2,2,1,1995
286,1995-04-12,12,4,QUI,QUINTA,4,ABR,ABRIL,2,2,1,1995
287,1995-04-13,13,5,SEX,SEXTA,4,ABR,ABRIL,2,2,1,1995
288,1995-04-14,14,6,SAB,SABADO,4,ABR,ABRIL,2,2,1,1995
289,1995-04-15,15,7,DOM,DOMINGO,4,ABR,ABRIL,2,2,1,1995
290,1995-04-16,16,1,SEG,SEGUNDA,4,ABR,ABRIL,2,2,1,1995
291,1995-04-17,17,2,TER,TERCA,4,ABR,ABRIL,2,2,1,1995
292,1995-04-18,18,3,QUA,QUARTA,4,ABR,ABRIL,2,2,1,1995
293,1995-04-19,19,4,QUI,QUINTA,4,ABR,ABRIL,2,2,1,1995
294,1995-04-20,20,5,SEX,SEXTA,4,ABR,ABRIL,2,2,1,1995
295,1995-04-21,21,6,SAB,SABADO,4,ABR,ABRIL,2,2,1,1995
296,1995-04-22,22,7,DOM,DOMINGO,4,ABR,ABRIL,2,2,1,1995
297,1995-04-23,23,1,SEG,SEGUNDA,4,ABR,ABRIL,2,2,1,1995
298,1995-04-24,24,2,TER,TERCA,4,ABR,ABRIL,2,2,1,1995
299,1995-04-25,25,3,QUA,QUARTA,4,ABR,ABRIL,2,2,1,1995
300,1995-04-26,26,4,QUI,QUINTA,4,ABR,ABRIL,2,2,1,1995
301,1995-04-27,27,5,SEX,SEXTA,4,ABR,ABRIL,2,2,1,1995
302,1995-04-28,28,6,SAB,SABADO,4,ABR,ABRIL,2,2,1,1995
303,1995-04-29,29,7,DOM,DOMINGO,4,ABR,ABRIL,2,2,1,1995
304,1995-04-30,30,1,SEG,SEGUNDA,4,ABR,ABRIL,2,2,1,1995
305,1995-05-01,1,2,TER,TERCA,5,MAI,MAIO,3,2,1,1995
